temporada,torneo,jornada,fecha,hora,local,visitante,goles_local,goles_visitante,penales,pen_local,pen_visitante,
2010/11,Apertura,1,2010-07-23,20:10,Estudiantes Tecos,Cruz Azul,0,3,FALSE,,,
2010/11,Apertura,1,2010-07-24,17:00,Jaguares Chiapas,Necaxa,1,1,FALSE,,,
2010/11,Apertura,1,2010-07-24,19:00,Pachuca,America,3,0,FALSE,,,
2010/11,Apertura,1,2010-07-24,,UANL,Querétaro,0,1,FALSE,,,
2010/11,Apertura,1,2010-07-24,,Guadalajara,Puebla,0,0,FALSE,,,
2010/11,Apertura,1,2010-07-24,20:45,Club San Luis,Monterrey,1,1,FALSE,,,
2010/11,Apertura,1,2010-07-24,21:00,Atlante,Santos Laguna,1,4,FALSE,,,
2010/11,Apertura,1,2010-07-25,12:00,Monarcas Morelia,Atlas,1,0,FALSE,,,
2010/11,Apertura,1,2010-07-25,,UNAM,Toluca,2,1,FALSE,,,
2010/11,Apertura,2,2010-07-30,20:10,Necaxa,UANL,0,2,FALSE,,,
2010/11,Apertura,2,2010-07-31,17:00,Cruz Azul,Atlante,2,0,FALSE,,,
2010/11,Apertura,2,2010-07-31,,Querétaro,Atlas,2,1,FALSE,,,
2010/11,Apertura,2,2010-07-31,19:00,Monterrey,Estudiantes Tecos,3,2,FALSE,,,
2010/11,Apertura,2,2010-07-31,,Santos Laguna,UNAM,4,0,FALSE,,,
2010/11,Apertura,2,2010-08-01,12:00,Toluca,Pachuca,1,1,FALSE,,,
2010/11,Apertura,2,2010-08-01,,Puebla,Club San Luis,2,1,FALSE,,,
2010/11,Apertura,2,2010-08-01,16:30,America,Jaguares Chiapas,3,0,FALSE,,,
2010/11,Apertura,2,2010-10-06,20:45,Guadalajara,Monarcas Morelia,0,1,FALSE,,,
2010/11,Apertura,3,2010-08-07,17:00,Jaguares Chiapas,Toluca,1,1,FALSE,,,
2010/11,Apertura,3,2010-08-07,19:00,Pachuca,Santos Laguna,0,3,FALSE,,,
2010/11,Apertura,3,2010-08-07,,UANL,America,1,1,FALSE,,,
2010/11,Apertura,3,2010-08-07,20:45,Atlas,Necaxa,0,1,FALSE,,,
2010/11,Apertura,3,2010-08-07,,Club San Luis,Guadalajara,0,1,FALSE,,,
2010/11,Apertura,3,2010-08-07,21:00,Atlante,Monterrey,1,2,FALSE,,,
2010/11,Apertura,3,2010-08-08,12:00,Monarcas Morelia,Querétaro,6,0,FALSE,,,
2010/11,Apertura,3,2010-08-08,,UNAM,Cruz Azul,2,0,FALSE,,,
2010/11,Apertura,3,2010-08-08,17:00,Estudiantes Tecos,Puebla,1,3,FALSE,,,
2010/11,Apertura,4,2010-08-13,20:10,Necaxa,Querétaro,1,1,FALSE,,,
2010/11,Apertura,4,2010-08-14,17:00,Cruz Azul,Pachuca,4,1,FALSE,,,
2010/11,Apertura,4,2010-08-14,19:00,Monterrey,UNAM,5,2,FALSE,,,
2010/11,Apertura,4,2010-08-14,,Santos Laguna,Jaguares Chiapas,1,0,FALSE,,,
2010/11,Apertura,4,2010-08-14,20:45,Club San Luis,Monarcas Morelia,1,0,FALSE,,,
2010/11,Apertura,4,2010-08-15,12:00,Toluca,UANL,1,1,FALSE,,,
2010/11,Apertura,4,2010-08-15,,Puebla,Atlante,1,1,FALSE,,,
2010/11,Apertura,4,2010-08-15,16:30,America,Atlas,1,1,FALSE,,,
2010/11,Apertura,4,2010-09-05,18:00,Guadalajara,Estudiantes Tecos,3,0,FALSE,,,
2010/11,Apertura,5,2010-08-20,20:10,Estudiantes Tecos,Club San Luis,3,2,FALSE,,,
2010/11,Apertura,5,2010-08-21,17:00,Jaguares Chiapas,Cruz Azul,2,3,FALSE,,,
