temporada,torneo,jornada,fecha,hora,local,visitante,goles_local,goles_visitante,penales,pen_local,,pen_visitante,Score,,,,,,,
2025/26,Apertura,1,2025-07-11,19:00,Puebla,Atlas,2,3,FALSE,,,,2–3,,,,"11,433",Estadio Cuauhtémoc,Charles Terrazas,Match Report
2025/26,Apertura,1,2025-07-11,21:05,Tijuana,Queretaro,1,0,FALSE,,,,1–0,,,,"18,333",Estadio Caliente,Vicente Arce,Match Report
2025/26,Apertura,1,2025-07-11,21:00,FC Juárez,America,1,1,FALSE,,,,1–1,,,,"18,098",Estadio Olímpico Benito Juárez,Ismael Lopez,Match Report
2025/26,Apertura,1,2025-07-12,19:00,Santos Laguna,UNAM,3,0,FALSE,,,,3–0,,,,"11,508",Estadio Nuevo Corona,Yonatan Peinado Aguirre,Match Report
2025/26,Apertura,1,2025-07-12,19:00,Toluca,Necaxa,3,1,FALSE,,,,3–1,,,,"20,273",Estadio Nemesio Díez,Fernando Hernández,Match Report
2025/26,Apertura,1,2025-07-12,21:05,Cruz Azul,Mazatlan,0,0,FALSE,,,,0–0,,,,"20,098",Estadio Olímpico de Universitario,Maximiliano Quintero,Match Report
2025/26,Apertura,1,2025-07-13,17:00,Pachuca,Monterrey,3,0,FALSE,,,,3–0,,,,"13,915",Estadio Hidalgo,Víctor Cáceres,Match Report
2025/26,Apertura,1,2025-07-13,19:00,Leon,Atlético San Luis,0,1,FALSE,,,,0–1,,,,"21,957",Estadio Leon,Abraham Quirarte,Match Report
2025/26,Apertura,2,2025-07-16,19:00,America,Tijuana,3,1,FALSE,,,,3–1,,,,"30,247",Estadio de la Ciudad de los Deportes,Marco Antonio Ortíz,Match Report
2025/26,Apertura,2,2025-07-16,21:05,Santos Laguna,Toluca,2,4,FALSE,,,,2–4,,,,"29,101",Estadio Nuevo Corona,Salvador Pérez Villalobos,Match Report
2025/26,Apertura,2,2025-07-18,19:00,Necaxa,Queretaro,3,1,FALSE,,,,3–1,,,,"19,100",Estadio Victoria de Aguascalientes,Martín Molina,Match Report
2025/26,Apertura,2,2025-07-18,21:05,Mazatlan,Puebla,2,1,FALSE,,,,2–1,,,,"8,703",Estadio El Encanto,Katia García,Match Report
2025/26,Apertura,2,2025-07-18,21:00,Atlético San Luis,Monterrey,0,1,FALSE,,,,0–1,,,,"16,930",Estadio Alfonso Lastras Ramírez,Joaquín Vizcarra Armenta,Match Report
2025/26,Apertura,2,2025-07-19,19:00,UANL,FC Juárez,1,0,FALSE,,,,1–0,,,,"41,615",Estadio Universitario de Nuevo Leon,Iván López,Match Report
2025/26,Apertura,2,2025-07-19,19:00,Leon,Guadalajara,1,0,FALSE,,,,1–0,,,,"22,185",Estadio Leon,Adonai Escobedo,Match Report
2025/26,Apertura,2,2025-07-19,21:05,Atlas,Cruz Azul,3,3,FALSE,,,,3–3,,,,"25,098",Estadio Jalisco,Luis Enrique Santander,Match Report
2025/26,Apertura,2,2025-07-20,12:00,UNAM,Pachuca,2,3,FALSE,,,,2–3,,,,"24,277",Estadio Olímpico de Universitario,Luis García,Match Report
2025/26,Apertura,3,2025-07-25,19:00,Puebla,Santos Laguna,1,0,FALSE,,,,1–0,,,,"13,250",Estadio Cuauhtémoc,Jorge Camacho,Match Report
2025/26,Apertura,3,2025-07-25,19:00,Queretaro,UNAM,0,2,FALSE,,,,0–2,,,,"23,432",Estadio La Corregidora,Charles Terrazas,Match Report
2025/26,Apertura,3,2025-07-25,21:00,Tijuana,FC Juárez,1,1,FALSE,,,,1–1,,,,"18,133",Estadio Caliente,Joaquín Vizcarra Armenta,Match Report
2025/26,Apertura,3,2025-07-26,17:00,Pachuca,Mazatlan,1,0,FALSE,,,,1–0,,,,"11,747",Estadio Hidalgo,Karen Hernández,Match Report
2025/26,Apertura,3,2025-07-26,17:07,Guadalajara,Atlético San Luis,4,3,FALSE,,,,4–3,,,,"38,832",Estadio Akron,César Arturo Ramos,Match Report
2025/26,Apertura,3,2025-07-26,19:00,Monterrey,Atlas,3,1,FALSE,,,,3–1,,,,"41,160",Estadio BBVA,Fernando Hernández,Match Report
2025/26,Apertura,3,2025-07-26,19:00,Cruz Azul,Leon,4,1,FALSE,,,,4–1,,,,"20,094",Estadio Olímpico de Universitario,Daniel Quintero,Match Report
2025/26,Apertura,3,2025-07-26,19:00,Toluca,UANL,3,4,FALSE,,,,3–4,,,,"27,273",Estadio Nemesio Díez,Marco Antonio Ortíz,Match Report
2025/26,Apertura,3,2025-07-26,21:05,Necaxa,America,1,1,FALSE,,,,1–1,,,,"20,586",Estadio Victoria de Aguascalientes,Jesús López,Match Report
2025/26,Apertura,4,2025-08-08,21:00,UANL,Puebla,7,0,FALSE,,,,7–0,,,,"10,023",Estadio Universitario de Nuevo Leon,Yonatan Peinado Aguirre,Match Report
2025/26,Apertura,4,2025-08-09,19:00,America,Queretaro,1,0,FALSE,,,,1–0,,,,"23,701",Estadio de la Ciudad de los Deportes,Adonai Escobedo,Match Report
2025/26,Apertura,4,2025-08-09,21:00,Mazatlan,Tijuana,2,2,FALSE,,,,2–2,,,,"9,747",Estadio El Encanto,Maximiliano Quintero,Match Report
2025/26,Apertura,4,2025-08-09,21:05,Atlas,Pachuca,0,3,FALSE,,,,0–3,,,,"16,773",Estadio Jalisco,Daniel Quintero,Match Report
